utr,credit_amount,value_date,narration
1786060800y0,339168,2026-08-09,NEFT-RAZORPAY-1786060800y0
1787270400b1,283713,2026-08-23,NEFT-RAZORPAY-1787270400b1
1787011200y2,183321,2026-08-20,NEFT-RAZORPAY-1787011200y2
1786147200x3,119634,2026-08-10,NEFT-RAZORPAY-1786147200x3
1785888000b4,361709,2026-08-07,NEFT-RAZORPAY-1785888000b4
1786752000c5,319681,2026-08-17,NEFT-RAZORPAY-1786752000c5
1787270400a6,222960,2026-08-23,NEFT-RAZORPAY-1787270400a6
1785542400y7,418469,2026-08-03,NEFT-RAZORPAY-1785542400y7
1785801600c8,368920,2026-08-06,NEFT-RAZORPAY-1785801600c8
1787011200x9,447410,2026-08-20,NEFT-RAZORPAY-1787011200x9
1785542400c10,106086,2026-08-03,NEFT-RAZORPAY-1785542400c10
1787097600a11,89136,2026-08-21,NEFT-RAZORPAY-1787097600a11
1785888000d12,386556,2026-08-13,NEFT-RAZORPAY-1785888000d12
1786060800z13,324893,2026-08-09,NEFT-RAZORPAY-1786060800z13
1786752000d14,313774,2026-08-17,NEFT-RAZORPAY-1786752000d14
1786406400x15,59587,2026-08-13,NEFT-RAZORPAY-1786406400x15
1785715200y16,411174,2026-08-05,NEFT-RAZORPAY-1785715200y16
1786406400x17,60965,2026-08-13,NEFT-RAZORPAY-1786406400x17
1785888000x18,304739,2026-08-07,NEFT-RAZORPAY-1785888000x18
1785801600y19,98440,2026-08-06,NEFT-RAZORPAY-1785801600y19
1786752000a20,422044,2026-08-17,NEFT-RAZORPAY-1786752000a20
1785801600b21,176111,2026-08-06,NEFT-RAZORPAY-1785801600b21
1786665600c22,142750,2026-08-21,NEFT-RAZORPAY-1786665600c22
1785801600y23,74717,2026-08-06,NEFT-RAZORPAY-1785801600y23
1786665600d24,297426,2026-08-16,NEFT-RAZORPAY-1786665600d24
1786579200d25,49923,2026-08-15,NEFT-RAZORPAY-1786579200d25
1787011200y26,387642,2026-08-20,NEFT-RAZORPAY-1787011200y26
1786060800x27,78759,2026-08-09,NEFT-RAZORPAY-1786060800x27
1787097600x28,292895,2026-08-21,NEFT-RAZORPAY-1787097600x28
1785974400x29,83897,2026-08-08,NEFT-RAZORPAY-1785974400x29
1787097600orphan30,179087,2026-08-21,NEFT-UNKNOWN-1787097600orphan30
1787184000d31,90787,2026-08-22,NEFT-RAZORPAY-1787184000d31
1786147200d32,184792,2026-08-10,NEFT-RAZORPAY-1786147200d32
1785715200d33,53587,2026-08-05,NEFT-RAZORPAY-1785715200d33
1786924800b34,184579,2026-08-19,NEFT-RAZORPAY-1786924800b34
1786320000d35,129572,2026-08-12,NEFT-RAZORPAY-1786320000d35
1787011200y36,202076,2026-08-20,NEFT-RAZORPAY-1787011200y36
1785801600x37,428874,2026-08-06,NEFT-RAZORPAY-1785801600x37
1786060800c38,416176,2026-08-09,NEFT-RAZORPAY-1786060800c38
1786233600a39,481953,2026-08-11,NEFT-RAZORPAY-1786233600a39
1785542400z40,219571,2026-08-03,NEFT-RAZORPAY-1785542400z40
1787011200d41,410061,2026-08-20,NEFT-RAZORPAY-1787011200d41
1785888000b43,268834,2026-08-07,NEFT-RAZORPAY-1785888000b43
1786492800y44,156360,2026-08-14,NEFT-RAZORPAY-1786492800y44
1786665600y45,366546,2026-08-16,NEFT-RAZORPAY-1786665600y45
1786665600b46,61508,2026-08-16,NEFT-RAZORPAY-1786665600b46
1785974400y47,309651,2026-08-08,NEFT-RAZORPAY-1785974400y47
1786060800d48,466842,2026-08-09,NEFT-RAZORPAY-1786060800d48
1785542400b49,386700,2026-08-03,NEFT-RAZORPAY-1785542400b49
1786233600y50,228576,2026-08-11,NEFT-RAZORPAY-1786233600y50
1785801600b51,182539,2026-08-06,NEFT-RAZORPAY-1785801600b51
1786924800d53,108020,2026-08-19,NEFT-RAZORPAY-1786924800d53
1785542400z54,309399,2026-08-03,NEFT-RAZORPAY-1785542400z54
1786406400z55,388418,2026-08-13,NEFT-RAZORPAY-1786406400z55
1786665600d56,215797,2026-08-16,NEFT-RAZORPAY-1786665600d56
1786665600d57,389207,2026-08-16,NEFT-RAZORPAY-1786665600d57
1786579200z58,329316,2026-08-15,NEFT-RAZORPAY-1786579200z58
1786665600x59,451061,2026-08-16,NEFT-RAZORPAY-1786665600x59
1786060800d60,310497,2026-08-09,NEFT-RAZORPAY-1786060800d60
1787270400c61,365829,2026-08-23,NEFT-RAZORPAY-1787270400c61
1786060800a62,124252,2026-08-09,NEFT-RAZORPAY-1786060800a62
1785715200d63,281954,2026-08-05,NEFT-RAZORPAY-1785715200d63
1786147200y64,124364,2026-08-10,NEFT-RAZORPAY-1786147200y64
