order_id,invoice_id,expected_amount,invoice_date,status
order_200000V,INV-400000,393638,2026-08-07,open
order_200001N,INV-400001,179303,2026-08-05,open
order_200002S,INV-400002,239790,2026-08-13,open
order_200003T,INV-400003,107487,2026-08-02,open
order_200004V,INV-400004,250078,2026-08-13,open
order_200005Q,INV-400005,406664,2026-08-01,open
order_200006Q,INV-400006,203878,2026-08-04,open
order_200007L,INV-400007,449487,2026-08-17,open
order_200009N,INV-400009,50299,2026-08-17,open
order_200010L,INV-400010,486032,2026-08-12,open
order_200011L,INV-400011,91291,2026-08-19,open
order_200012U,INV-400012,395899,2026-08-05,open
order_200013U,INV-400013,161043,2026-08-14,open
order_200014S,INV-400014,321358,2026-08-15,open
order_200015P,INV-400015,61028,2026-08-11,open
order_200016P,INV-400016,421112,2026-08-03,open
order_200017M,INV-400017,87149,2026-08-11,open
order_200018P,INV-400018,429245,2026-08-05,open
order_200019T,INV-400019,99453,2026-08-07,open
order_200020S,INV-400020,432245,2026-08-15,open
order_200021S,INV-400021,180367,2026-08-04,open
order_200022T,INV-400022,146200,2026-08-14,open
order_200023M,INV-400023,101332,2026-08-18,open
order_200024P,INV-400024,304615,2026-08-14,open
order_200026Q,INV-400026,271777,2026-08-10,open
order_200027P,INV-400027,80662,2026-08-07,open
order_200028L,INV-400028,299974,2026-08-19,open
order_200029U,INV-400029,85924,2026-08-06,open
order_200030S,INV-400030,179087,2026-08-19,open
order_200031M,INV-400031,346341,2026-08-19,open
order_200032P,INV-400032,189258,2026-08-08,open
order_200033T,INV-400033,54883,2026-08-03,open
order_200034U,INV-400034,189041,2026-08-17,open
order_200035R,INV-400035,279734,2026-08-06,open
order_200036U,INV-400036,206960,2026-08-18,open
order_200037Q,INV-400037,439240,2026-08-04,open
order_200038Q,INV-400038,426235,2026-08-07,open
order_200039U,INV-400039,493602,2026-08-09,open
order_200040M,INV-400040,73114,2026-08-09,open
order_200041Q,INV-400041,339239,2026-08-15,open
order_200042L,INV-400042,412293,2026-08-03,open
order_200043V,INV-400043,275332,2026-08-05,open
order_200044R,INV-400044,160140,2026-08-12,open
order_200045R,INV-400045,375405,2026-08-14,open
order_200046N,INV-400046,62995,2026-08-14,open
order_200047P,INV-400047,462811,2026-08-06,open
order_200048L,INV-400048,154633,2026-08-08,open
order_200049Q,INV-400049,62406,2026-08-08,open
order_200050R,INV-400050,455445,2026-08-03,open
order_200051S,INV-400051,64470,2026-08-11,open
order_200052V,INV-400052,106834,2026-08-02,open
order_200053R,INV-400053,318132,2026-08-20,open
order_200054P,INV-400054,421607,2026-08-02,open
order_200055U,INV-400055,276124,2026-08-12,open
order_200056R,INV-400056,315878,2026-08-10,open
order_200057S,INV-400057,116735,2026-08-18,open
order_200058N,INV-400058,207784,2026-08-19,open
order_200059Q,INV-400059,461963,2026-08-14,open
order_200060T,INV-400060,318002,2026-08-07,open
order_200061Q,INV-400061,374671,2026-08-21,open
order_200062Q,INV-400062,127255,2026-08-07,open
order_200063T,INV-400063,288769,2026-08-03,open
order_200064T,INV-400064,127369,2026-08-08,open
order_200065S,INV-400065,471585,2026-08-06,open
order_200066U,INV-400066,289317,2026-08-04,open
order_200067U,INV-400067,445968,2026-08-11,open
order_200068T,INV-400068,285966,2026-08-16,open
order_200069U,INV-400069,175433,2026-08-21,open
order_200070T,INV-400070,172942,2026-08-10,open
order_200071U,INV-400071,129078,2026-08-05,open
order_200072P,INV-400072,263699,2026-08-14,open
order_200073P,INV-400073,453594,2026-08-13,open
order_200074S,INV-400074,234422,2026-08-01,open
order_200075U,INV-400075,165625,2026-08-20,open
order_200076S,INV-400076,253873,2026-08-01,open
order_200077T,INV-400077,330034,2026-08-20,open
order_200078V,INV-400078,386985,2026-08-03,open
order_200079N,INV-400079,248759,2026-08-09,open
order_200080R,INV-400080,195886,2026-08-13,open
order_200081M,INV-400081,442704,2026-08-01,open
order_200082P,INV-400082,71106,2026-08-21,open
order_200083P,INV-400083,129892,2026-08-20,open
order_200084M,INV-400084,293811,2026-08-07,open
