settlement_id,payment_id,order_id,amount,fee,tax,tds,net_amount,settled_at,utr,method
setl_300000B,pay_100000D,order_200000V,393638,7873,1417,3936,380412,2026-08-07,1786041000d0,wallet
setl_300001A,pay_100001H,order_200001N,179303,3586,645,1793,173279,2026-08-05,1785868200y1,netbanking
setl_300002F,pay_100002K,order_200002S,239790,4796,863,2398,231733,2026-08-13,1786559400b2,upi
setl_300003X,pay_100003J,order_200003T,107487,2150,387,1075,103875,2026-08-02,1785609000b3,upi
setl_300004X,pay_100004G,order_200004V,250078,5002,900,2501,241675,2026-08-13,1786559400x4,wallet
setl_300005E,pay_100005J,order_200005Q,406664,8133,1464,4067,393000,2026-08-01,1785522600y5,card
setl_300006B,pay_100006J,order_200006Q,203878,4078,734,2039,197027,2026-08-04,1785781800d6,upi
setl_300007A,pay_100007H,order_200007L,449487,8990,1618,4495,434384,2026-08-17,1786905000b7,card
setl_500007DUP,pay_100007H,order_200007L,449487,8990,1618,4495,434384,2026-08-17,1786905000b7,card
setl_300009E,pay_100009F,order_200009N,50299,1006,181,503,48609,2026-08-17,1786905000x9,netbanking
setl_300010X,pay_100010H,order_200010L,486032,9721,1750,4860,469701,2026-08-12,1786473000z10,netbanking
setl_300011Z,pay_100011D,order_200011L,91291,1826,329,1187,87949,2026-08-19,1787077800a11,wallet
setl_300012Y,pay_100012B,order_200012U,395899,7918,1425,3959,382597,2026-08-05,1785868200d12,upi
setl_300013F,pay_100013E,order_200013U,161043,3221,580,1610,155632,2026-08-14,1786645800x13,upi
setl_300014B,pay_100014E,order_200014S,321358,6427,1157,3214,310560,2026-08-15,1786732200d14,card
setl_300015X,pay_100015D,order_200015P,61028,1221,220,610,58977,2026-08-11,1786386600x15,upi
setl_300016W,pay_100016K,order_200016P,421112,8422,1516,4211,406963,2026-08-03,1785695400y16,card
setl_300017W,pay_100017D,order_200017M,87149,1743,314,871,84221,2026-08-11,1786386600x17,upi
setl_300018E,pay_100018H,order_200018P,429245,8585,1545,4292,414823,2026-08-05,1785868200x18,wallet
setl_300019C,pay_100019D,order_200019T,99453,1989,358,995,96111,2026-08-07,1786041000a19,wallet
setl_300020C,pay_100020F,order_200020S,432245,8645,1556,4322,417722,2026-08-15,1786732200a20,card
setl_300021B,pay_100021A,order_200021S,180367,3607,649,1804,174307,2026-08-04,1785781800b21,upi
setl_300022Y,pay_100022J,order_200022T,146200,2924,526,1462,141288,2026-08-14,1786645800c22,wallet
setl_300023D,pay_100023D,order_200023M,101332,2331,365,1013,97623,2026-08-18,1786991400a23,card
setl_300024Y,pay_100024B,order_200024P,304615,6092,1097,5483,291943,2026-08-14,1786645800d24,upi
setl_300026D,pay_100026G,order_200026Q,271777,5436,978,2718,262645,2026-08-10,1786300200y26,wallet
setl_300027A,pay_100027C,order_200027P,80662,1613,290,807,77952,2026-08-07,1786041000x27,card
